,Permanent_Identifier,Shape,SourceFeatureClass,AreaSqKm,d_area
2,2001,Polygon,NHDPlusBurnLineEvent,0.250712395,250712.4
17,2002,Polygon,NHDPlusBurnLineEvent,0.923016438,923016.4
15,2003,Polygon,NHDPlusBurnLineEvent,0.418534412,4599816.5
7,2004,Polygon,NHDPlusBurnLineEvent,0.567088795,567088.8
13,2005,Polygon,NHDPlusBurnLineEvent,0.748627628,748627.6
9,2006,Polygon,NHDPlusBurnLineEvent,0.792299156,792299.2
18,2007,Polygon,NHDPlusBurnLineEvent,0.120850095,120850.1
4,2008,Polygon,NHDPlusBurnLineEvent,0.369884157,369884.2
1,2009,Polygon,NHDPlusBurnLineEvent,1.005056156,30241364.9
12,2010,Polygon,NHDPlusBurnLineEvent,0.068567096,68567.1
10,2011,Polygon,NHDPlusBurnLineEvent,1.383010899,1383010.9
3,2012,Polygon,NHDPlusBurnLineEvent,2.178348394,2178348.4
29,2013,Polygon,NHDPlusBurnLineEvent,0.32429921,2502647.6
30,2014,Polygon,NHDPlusBurnLineEvent,0.259588006,259588
8,2015,Polygon,NHDPlusBurnLineEvent,0.874850042,874850
11,2016,Polygon,NHDPlusBurnLineEvent,0.498308494,498308.5
20,2017,Polygon,NHDPlusBurnLineEvent,1.753944633,16880789.9
5,2018,Polygon,NHDPlusBurnLineEvent,1.099905967,26548684.8
14,2019,Polygon,NHDPlusBurnLineEvent,0.102399704,3154788.9
19,2020,Polygon,NHDPlusBurnLineEvent,0.447768699,447768.7
6,2021,Polygon,NHDPlusBurnLineEvent,3.401083617,24881690.1
16,2022,Polygon,NHDPlusBurnLineEvent,1.669378295,1669378.3
21,2023,Polygon,NHDPlusBurnLineEvent,1.442889755,28866424.6
25,2024,Polygon,NHDPlusBurnLineEvent,1.805615279,8832803.1
26,2025,Polygon,NHDPlusBurnLineEvent,2.823830469,4495474.5
27,2026,Polygon,NHDPlusBurnLineEvent,0.073798754,3726896.1
24,2027,Polygon,NHDPlusBurnLineEvent,1.77484694,14334546.1
23,2028,Polygon,NHDPlusBurnLineEvent,0.91172441,4181282.1
22,2029,Polygon,NHDPlusBurnLineEvent,0.319141389,3269557.7
28,2030,Polygon,NHDPlusBurnLineEvent,2.531713236,2531713.2
