"coords.x1","coords.x2","Permanent_Identifier","X.1","X","OBJECTID","Shape","ORIG_FID","DomainNum","SiteID","Source","Length","Shape_Leng","slope","row_count","Q_multiplier"
-105.569815,40.039725,1001,1,1,1,"Point",0,"D13","COMO",NA,0,2899.690984,0.101368505,1,0.0352117797893349
-105.569672,40.039641,1001,2,2,2,"Point",0,"D13","COMO",NA,0,2899.690984,0.101368505,2,0.0394529661897735
-105.569493,40.039583,1001,3,3,3,"Point",0,"D13","COMO",NA,0,2899.690984,0.073002036,3,0.0440305740502097
-105.569343,40.039495,1001,4,4,4,"Point",0,"D13","COMO",NA,0,2899.690984,0.045867624,4,0.0484772947277632
-105.569162,40.039519,1001,5,5,5,"Point",0,"D13","COMO",NA,0,2899.690984,0.040645487,5,0.0528055505025726
-105.568975,40.039554,1001,6,6,6,"Point",0,"D13","COMO",NA,0,2899.690984,0.058296878,6,0.0573409581825799
-105.568781,40.039556,1001,7,7,7,"Point",0,"D13","COMO",NA,0,2899.690984,0.085635512,7,0.0619129640311892
-105.568678,40.039435,1001,8,8,8,"Point",0,"D13","COMO",NA,0,2899.690984,0.070459412,8,0.0663461346717916
-105.568539,40.039439,1001,9,9,9,"Point",0,"D13","COMO",NA,0,2899.690984,0.052245381,9,0.0696239592009422
-105.568401,40.039524,1001,10,10,10,"Point",0,"D13","COMO",NA,0,2899.690984,0.011779532,10,0.0737912573083643
-105.568224,40.039575,1001,11,11,11,"Point",0,"D13","COMO",NA,0,2899.690984,0.016152865,11,0.078245689867629
-105.568048,40.039657,1001,12,12,12,"Point",0,"D13","COMO",NA,0,2899.690984,0.029954704,12,0.0830955674412424
-105.567854,40.03963,1001,13,13,13,"Point",0,"D13","COMO",NA,0,2899.690984,0.055233227,13,0.0877414951894452
-105.567664,40.03964,1001,14,14,14,"Point",0,"D13","COMO",NA,0,2899.690984,0.074413354,14,0.0922293093840748
-105.567485,40.039713,1001,15,15,15,"Point",0,"D13","COMO",NA,0,2899.690984,0.083951389,15,0.0970043963062211
-105.567295,40.039704,1001,16,16,16,"Point",0,"D13","COMO",NA,0,2899.690984,0.096655409,16,0.101490215542158
-105.567094,40.039732,1001,17,17,17,"Point",0,"D13","COMO",NA,0,2899.690984,0.089219891,17,0.106303915638131
-105.566884,40.039687,1001,18,18,18,"Point",0,"D13","COMO",NA,0,2899.690984,0.123983284,18,0.111441254788807
-105.566698,40.039637,1001,19,19,19,"Point",0,"D13","COMO",NA,0,2899.690984,0.148103367,19,0.116084653881564
-105.566504,40.039589,1001,20,20,20,"Point",0,"D13","COMO",NA,0,2899.690984,0.165804414,20,0.120887265561127
-105.566317,40.039537,1001,21,21,21,"Point",0,"D13","COMO",NA,0,2899.690984,0.1202971,21,0.125573424820136
-105.56612,40.039481,1001,22,22,22,"Point",0,"D13","COMO",NA,0,2899.690984,0.100269482,22,0.130523026018177
-105.565925,40.039499,1001,23,23,23,"Point",0,"D13","COMO",NA,0,2899.690984,0.139924404,23,0.135151208628606
-105.565732,40.039441,1001,24,24,24,"Point",0,"D13","COMO",NA,0,2899.690984,0.198262203,24,0.140034507267017
-105.565575,40.039344,1001,25,25,25,"Point",0,"D13","COMO",NA,0,2899.690984,0.18977878,25,0.144781268881066
-105.56545,40.039226,1001,26,26,26,"Point",0,"D13","COMO",NA,0,2899.690984,0.142415222,26,0.149446515922787
