Permanent_Identifier,OBJECTID,SHAPE,NHD_Plus,SourceFeatureClass,GridCode,AreaSqKm,VPUID,SHAPE_Length,SHAPE_Area,d_area
1001,77164,Polygon,2.3001E+13,NHDPlusBurnLineEvent,46915,0.1022,1027,0.018629,1.1e-05,256800
1002,73391,Polygon,2.3001E+13,NHDPlusBurnLineEvent,70513,0.1546,1027,0.019768,1.6e-05,154600
1003,78570,Polygon,2.3001E+13,NHDPlusBurnLineEvent,63567,0.4728,1027,0.040061,4.9e-05,472800
1004,78789,Polygon,2.3001E+13,NHDPlusBurnLineEvent,1979,0.3197,1027,0.029186,3.3e-05,1789500
1005,117693,Polygon,2.3001E+13,NHDPlusBurnLineEvent,46817,0.0215,1027,0.009197,2e-06,4386300
1006,116217,Polygon,2.3001E+13,NHDPlusBurnLineEvent,54608,0.0617,1027,0.014647,6e-06,1623900
1007,80664,Polygon,2.3001E+13,NHDPlusBurnLineEvent,54610,0.7132,1027,0.04721,7.4e-05,2740900
1008,81306,Polygon,2.3001E+13,NHDPlusBurnLineEvent,75611,0.3864,1027,0.041237,4e-05,386400
1009,74022,Polygon,2.3001E+13,NHDPlusBurnLineEvent,77041,0.7854,1027,0.060139,8.2e-05,785400
1010,39323,Polygon,2.3001E+13,NHDPlusBurnLineEvent,74160,0.3048,1027,0.034591,3.2e-05,304800
1011,78958,Polygon,2.3001E+13,NHDPlusBurnLineEvent,75624,0.9933,1027,0.06464,0.000103,993300
1012,77011,Polygon,2.3001E+13,NHDPlusBurnLineEvent,77761,0.2892,1027,0.031653,3e-05,289200
1013,73176,Polygon,2.3001E+13,NHDPlusBurnLineEvent,24403,0.3351,1027,0.037475,3.5e-05,1257400
1014,120784,Polygon,2.3001E+13,NHDPlusBurnLineEvent,61966,0.1796,1027,0.022511,1.9e-05,179600
1015,37256,Polygon,2.3001E+13,NHDPlusBurnLineEvent,24368,0.0888,1027,0.020178,9e-06,633100
1016,80665,Polygon,2.3001E+13,NHDPlusBurnLineEvent,73482,0.2536,1027,0.027812,2.6e-05,253600
1017,73603,Polygon,2.3001E+13,NHDPlusBurnLineEvent,69135,0.2093,1027,0.027838,2.2e-05,209300
1018,79758,Polygon,2.3001E+13,NHDPlusBurnLineEvent,31936,0.6205,1027,0.048625,6.5e-05,1083400
1019,75794,Polygon,2.3001E+13,NHDPlusBurnLineEvent,24307,0.1872,1027,0.02861,1.9e-05,12319100
1020,79757,Polygon,2.3001E+13,NHDPlusBurnLineEvent,16713,0.7023,1027,0.067584,4.9e-05,13021400
1021,78068,Polygon,2.3001E+13,NHDPlusBurnLineEvent,24311,0.8013,1027,0.061133,8.3e-05,11875100
1022,74358,Polygon,2.3001E+13,NHDPlusBurnLineEvent,46919,2.5406,1027,0.120539,0.000265,4802900
1023,80088,Polygon,2.3001E+13,NHDPlusBurnLineEvent,16717,0.8913,1027,0.05332,9.3e-05,6270900
1024,69084,Polygon,2.3001E+13,NHDPlusBurnLineEvent,24391,0.4756,1027,0.041579,5e-05,1242300
1025,80474,Polygon,2.3001E+13,NHDPlusBurnLineEvent,62744,0.1323,1027,0.019958,1.4e-05,132300
1026,80365,Polygon,2.3001E+13,NHDPlusBurnLineEvent,16637,0.0047,1027,0.004173,2.6e-05,258300
1027,79951,Polygon,2.3001E+13,NHDPlusBurnLineEvent,82606,0.1941,1027,0.026066,2e-05,194100
1028,79425,Polygon,2.3001E+13,NHDPlusBurnLineEvent,54626,0.0616,1027,0.015566,6e-06,508400
1029,77445,Polygon,2.3001E+13,NHDPlusBurnLineEvent,83691,0.0388,1027,0.010775,4e-06,38800
1030,79419,Polygon,2.3001E+13,NHDPlusBurnLineEvent,68471,0.1643,1027,0.022553,1.7e-05,164300
1031,67788,Polygon,2.3001E+13,NHDPlusBurnLineEvent,1934,0.0496,1027,0.014248,5e-06,252700
1032,77972,Polygon,2.3001E+13,NHDPlusBurnLineEvent,79098,0.0386,1027,0.009952,4e-06,38600
1033,79451,Polygon,2.3001E+13,NHDPlusBurnLineEvent,62741,0.071,1027,0.015511,7e-06,71000
1034,38294,Polygon,2.3001E+13,NHDPlusBurnLineEvent,46814,0.0117,1027,0.006067,1e-06,121300
1035,78515,Polygon,2.3001E+13,NHDPlusBurnLineEvent,73445,0.0656,1027,0.014275,7e-06,65600
1036,69763,Polygon,2.3001E+13,NHDPlusBurnLineEvent,16625,0.1067,1027,0.017254,1.1e-05,364700
1037,76542,Polygon,2.3001E+13,NHDPlusBurnLineEvent,79095,0.0194,1027,0.007412,2e-06,19400
1038,78551,Polygon,2.3001E+13,NHDPlusBurnLineEvent,64969,0.0709,1027,0.016622,7e-06,70900
1039,75094,Polygon,2.3001E+13,NHDPlusBurnLineEvent,9497,0.1021,1027,0.019656,1.1e-05,192400
