"Permanent_Identifier","OBJECTID","Shape","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","FlowDir","WBArea_Permanent_Identifier","FType","FCode","MainPath","InNetwork","VisibilityFilter","Shape_Length","NHDPlusID","VPUID","Enabled","Hydrologic_Sequence","X"
1001,79895,"Polyline ZM","3/26/12 1:06","High","<Null>","<Null>",0.356,10270101001112,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.003494,23001000047547,1027,TRUE,2,NA
1002,5131,"Polyline ZM","3/26/12 1:06","High","<Null>","<Null>",0.043,10270101001112,"WithDigitized","52554000","ArtificialPath","Artificial Path","Unspecified","Yes","Unspecified",0.000432,23001000005503,1027,TRUE,1,NA
1003,81458,"Polyline ZM","3/26/12 1:07","High","<Null>","<Null>",0.885,10270101001107,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.009735,23001000026713,1027,TRUE,1,NA
1004,38296,"Polyline ZM","3/26/12 1:06","High","480854","North Branch Kings Creek",0.85,10270101000324,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.008875,23001000068676,1027,TRUE,3,NA
1005,48719,"Polyline ZM","3/26/12 1:06","High","480856","South Branch Kings Creek",0.187,10270101000327,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.001841,23001000047661,1027,TRUE,7,NA
1006,40690,"Polyline ZM","3/26/12 1:05","High","<Null>","<Null>",0.431,10270101000329,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.004174,23001000058207,1027,TRUE,6,NA
1007,6910,"Polyline ZM","3/26/12 1:06","High","480856","South Branch Kings Creek",1.104,10270101000328,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.011847,23001000058209,1027,TRUE,5,NA
1008,80182,"Polyline ZM","3/26/12 1:07","High","<Null>","<Null>",1.112,10270101001147,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.01084,23001000016314,1027,TRUE,1,NA
1009,32205,"Polyline ZM","3/26/12 1:06","High","<Null>","<Null>",1.335,10270101001148,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.014094,23001000079066,1027,TRUE,1,NA
1010,21574,"Polyline ZM","3/26/12 1:07","High","<Null>","<Null>",0.898,10270101001160,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.008602,23001000037208,1027,TRUE,1,NA
1011,72468,"Polyline ZM","3/26/12 1:07","High","<Null>","<Null>",2.044,10270101001172,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.020223,23001000016090,1027,TRUE,1,NA
1012,60327,"Polyline ZM","3/26/12 1:07","High","<Null>","<Null>",0.906,10270101004336,"WithDigitized","<Null>","StreamRiver","Stream/River","Unspecified","Yes","Unspecified",0.009018,23001000068673,1027,TRUE,1,NA
1013,75798,"Polyline ZM","3/26/12 1:05","High","<Null>","<Null>",0.726,10270101000329,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.007218,23001000016209,1027,TRUE,5,NA
1014,45466,"Polyline ZM","3/26/12 1:06","High","<Null>","<Null>",0.744,10270101004280,"WithDigitized","<Null>","StreamRiver","Stream/River","Unspecified","Yes","Unspecified",0.007412,23001000005594,1027,TRUE,1,NA
1015,43184,"Polyline ZM","3/26/12 1:05","High","<Null>","<Null>",0.362,10270101000329,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.00355,23001000016210,1027,TRUE,4,NA
1016,26932,"Polyline ZM","3/26/12 1:07","High","<Null>","<Null>",0.722,10270101004261,"WithDigitized","<Null>","StreamRiver","Stream/River","Unspecified","Yes","Unspecified",0.00761,23001000047769,1027,TRUE,1,NA
1017,11879,"Polyline ZM","3/26/12 1:06","High","480854","North Branch Kings Creek",0.736,10270101000324,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.007209,23001000026804,1027,TRUE,1,NA
1018,31492,"Polyline ZM","3/26/12 1:06","High","480854","North Branch Kings Creek",0.924,10270101000324,"WithDigitized","<Null>","StreamRiver","Stream/River: Hydrographic Category = Intermittent","Unspecified","Yes","Unspecified",0.009929,23001000026809,1027,TRUE,2,NA
1019,43713,"Polyline ZM","3/26/12 1:06","High","480855","Kings Creek",0.686,10270101004300,"WithDigitized","<Null>","StreamRiver","Stream/River","Unspecified","Yes","Unspecified",0.007017,23001000016092,1027,TRUE,10,NA
