"Permanent_Identifier","coords.x1","coords.x2","X.1","X","OBJECTID","ORIG_FID","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","FlowDir","WBArea_Per","FType","FCode","MainPath","InNetwork","Visibility","Shape_Leng","NHDPlusID","VPUID","Enabled","slope","row_count","Q_multiplier"
1001,-96.59809269,39.10006301,45,45,45,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.004511241,45,0.0118727632973413
1001,-96.59793719,39.10022191,46,46,46,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.009172884,46,0.0124052915449501
1001,-96.59770597,39.10038536,47,47,47,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.007187694,47,0.0130535716759043
1001,-96.59787555,39.10065785,48,48,48,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.004918588,48,0.0138606244206619
1001,-96.59809927,39.10089134,49,49,49,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.008391743,49,0.0146371558664073
1001,-96.59824967,39.10120427,50,50,50,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.009159142,50,0.0155276650634697
1001,-96.59845044,39.10148066,51,51,51,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.011912452,51,0.0163740345149743
1001,-96.59831352,39.10176892,52,52,52,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.007869303,52,0.0171931632678025
1001,-96.59816649,39.10205091,53,53,53,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.013084216,53,0.0180043081537756
1001,-96.59821716,39.10238013,54,54,54,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.007251872,54,0.0188879562583735
1001,-96.5985014,39.10257868,55,55,55,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,0.009492252,55,0.0196806294221933
1001,-96.59851689,39.10258807,56,56,56,3,"3/26/2012",2,NA,NA,0.356,1.02701e+13,1,NA,460,46003,0,1,0,0.003494145,2.3001e+13,1027,1,8.29977e-05,56,0.0197213817254673
1002,-96.59777976,39.09976467,206,206,206,11,"3/26/2012",2,NA,NA,0.043,1.02701e+13,1,52554000,558,55800,0,1,0,0.000432354,2.3001e+13,1027,1,0.005628495,206,0.00593638164867065
1002,-96.59803135,39.10000453,207,207,207,11,"3/26/2012",2,NA,NA,0.043,1.02701e+13,1,52554000,558,55800,0,1,0,0.000432354,2.3001e+13,1027,1,0.005421588,207,0.0107091258720937
1002,-96.59809269,39.10006301,208,208,208,11,"3/26/2012",2,NA,NA,0.043,1.02701e+13,1,52554000,558,55800,0,1,0,0.000432354,2.3001e+13,1027,1,0.005214682,208,0.0118727632973413
1003,-96.56265943,39.09804387,712,712,712,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.042698497,712,0.0181547299061545
1003,-96.56298576,39.0979319,713,713,713,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.04338525,713,0.0188013987564357
1003,-96.56330284,39.09779971,714,714,714,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.048198639,714,0.0194535872722442
1003,-96.56360337,39.09762534,715,715,715,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.042675545,715,0.0201331295431168
1003,-96.56392361,39.09754038,716,716,716,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.041374735,716,0.0207466597044068
1003,-96.56425596,39.0976353,717,717,717,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.03689841,717,0.0213886242080744
1003,-96.56458762,39.09773799,718,718,718,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.043306674,718,0.0220358706442387
1003,-96.56490479,39.09787958,719,719,719,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.044477708,719,0.0226988028765922
1003,-96.56520504,39.09805098,720,720,720,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.04336074,720,0.0233738282891684
1003,-96.56536594,39.09834787,721,721,721,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.034107589,721,0.0241239162581518
1003,-96.56567113,39.09850131,722,722,722,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.034839261,722,0.0247826187032979
1003,-96.56599779,39.09849429,723,723,723,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.03321457,723,0.0253752703296623
1003,-96.56629592,39.09833166,724,724,724,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.031589879,724,0.0260352810392508
1003,-96.56658601,39.09814538,725,725,725,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.047295629,725,0.0267170144989421
1003,-96.56692119,39.09811914,726,726,726,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.057760107,726,0.0273279559742705
1003,-96.56723878,39.09798747,727,727,727,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.068224584,727,0.0279803894865293
1003,-96.56757102,39.09803157,728,728,728,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.078689062,728,0.0285916194562262
1003,-96.56788882,39.09805857,729,729,729,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.065481613,729,0.029171396839527
1003,-96.56810766,39.09779044,730,730,730,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.053161109,730,0.0299109735395967
1003,-96.56839147,39.09762317,731,731,731,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.042379264,731,0.0305563432911222
1003,-96.56873384,39.09762721,732,732,732,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.0356666,732,0.0311773399526667
1003,-96.5690626,39.09773621,733,733,733,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.03316123,733,0.0318253094264638
1003,-96.56940513,39.09777135,734,734,734,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.030358003,734,0.0324518847057682
1003,-96.56974772,39.0977276,735,735,735,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.025997074,735,0.0330814967620908
1003,-96.57007122,39.0976007,736,736,736,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.027648613,736,0.0337383483366818
1003,-96.5703889,39.09746492,737,737,737,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.019441698,737,0.0343954761427777
1003,-96.57073204,39.09747586,738,738,738,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.029708164,738,0.0350183201325453
1003,-96.57105978,39.09739888,739,739,739,32,"3/26/2012",2,NA,NA,0.885,1.02701e+13,1,NA,460,46003,0,1,0,0.009735002,2.3001e+13,1027,1,0.047454109,739,0.0356391303052886
