NHDPlusID,OBJECTID,SourceFC,GridCode,AreaSqKm,VPUID,SHAPE_Length,SHAPE_Area,Permanent_Identifier,d_area
5.50004E+13,147,NHDPlusBurnLineEvent,159259,0.03400001,1707,0.011963686,3.93426E-06,2001,34000.01
5.50004E+13,93,NHDPlusBurnLineEvent,31635,0.0207,1707,0.010169951,2.39476E-06,2002,20700
5.50004E+13,72,NHDPlusBurnLineEvent,173624,0.08719998,1707,0.021434178,1.0089E-05,2003,87199.98
5.50004E+13,41,NHDPlusBurnLineEvent,23784,0.0067,1707,0.005584992,7.75216E-07,2004,2060100.01
5.50004E+13,47,NHDPlusBurnLineEvent,23726,0.0014,1707,0.002568294,1.61995E-07,2005,3090699.95
5.50004E+13,86,NHDPlusBurnLineEvent,251207,0.05719999,1707,0.017058416,6.60368E-06,2006,57199.99
5.50004E+13,66,NHDPlusBurnLineEvent,38353,0.0507,1707,0.018473428,5.86592E-06,2007,340699.98
5.50004E+13,88,NHDPlusBurnLineEvent,31205,0.0032,1707,0.003698552,3.70296E-07,2008,473999.95
5.50004E+13,214,NHDPlusBurnLineEvent,23161,0.0163,1707,0.010851564,1.88575E-06,2009,164600.02
5.50004E+13,5,NHDPlusBurnLineEvent,24825,0.0287,1707,0.009506707,3.32074E-06,2010,2327199.99
5.50004E+13,34,NHDPlusBurnLineEvent,251709,0.07260001,1707,0.015045037,8.38261E-06,2011,72600.01
5.50004E+13,56,NHDPlusBurnLineEvent,25280,0.0093,1707,0.007265818,1.07608E-06,2012,2298499.99
5.50004E+13,46,NHDPlusBurnLineEvent,32022,0.00609999,1707,0.004389517,7.0581E-07,2013,170799.99
5.50004E+13,55,NHDPlusBurnLineEvent,221515,0.0909,1707,0.022795796,1.04908E-05,2014,90900
5.50004E+13,103,NHDPlusBurnLineEvent,31535,0.0031,1707,0.003138316,3.58728E-07,2015,65299.99
5.50004E+13,176,NHDPlusBurnLineEvent,266869,0.0488,1707,0.018458398,5.64341E-06,2016,48800
5.50004E+13,98,NHDPlusBurnLineEvent,37038,0.00629999,1707,0.00513672,7.28988E-07,2017,103200
5.50004E+13,13,NHDPlusBurnLineEvent,31074,0.06749997,1707,0.028221965,7.79377E-06,2018,67499.97
5.50004E+13,207,NHDPlusBurnLineEvent,31805,0.0125,1707,0.011069926,1.44451E-06,2019,12500
5.50004E+13,101,NHDPlusBurnLineEvent,188990,0.07170001,1707,0.014957611,8.26527E-06,2020,71700.01
5.50004E+13,183,NHDPlusBurnLineEvent,31068,0.034,1707,0.015379514,3.93054E-06,2021,34000
5.50004E+13,30,NHDPlusBurnLineEvent,31263,0.05390001,1707,0.028258932,6.23601E-06,2022,354900.01
5.50004E+13,3,NHDPlusBurnLineEvent,26468,0.003165,1707,0.008285027,5.19716E-07,2024,3236364.95
5.50004E+13,201,NHDPlusBurnLineEvent,25645,0.0062,1707,0.005201802,7.17336E-07,2025,887199.97
5.50004E+13,208,NHDPlusBurnLineEvent,31816,0.02060001,1707,0.009172195,2.38373E-06,2026,498399.95
5.50004E+13,184,NHDPlusBurnLineEvent,237244,0.1377,1707,0.026074643,1.58513E-05,2027,137700
5.50004E+13,21,NHDPlusBurnLineEvent,204975,0.0024,1707,0.003082521,2.77729E-07,2028,2400
5.50004E+13,190,NHDPlusBurnLineEvent,25903,0.00699999,1707,0.004641761,8.09963E-07,2029,2972299.93
5.50004E+13,122,NHDPlusBurnLineEvent,267350,0.05120001,1707,0.016848432,5.92458E-06,2030,51200.01
5.50004E+13,188,NHDPlusBurnLineEvent,38403,0.08870001,1707,0.020948786,1.02635E-05,2031,191900.01
5.50004E+13,155,NHDPlusBurnLineEvent,38688,0.01399999,1707,0.00551971,1.61993E-06,2032,194399.99
5.50004E+13,58,NHDPlusBurnLineEvent,24547,0.0159,1707,0.012336636,1.83965E-06,2033,1600700
5.50004E+13,70,NHDPlusBurnLineEvent,31550,0.032,1707,0.013914551,3.70214E-06,2034,92000
5.50004E+13,193,NHDPlusBurnLineEvent,32242,0.0275,1707,0.017930507,3.18161E-06,2035,163300
5.50004E+13,8,NHDPlusBurnLineEvent,39174,0.00549999,1707,0.004137496,6.36428E-07,2036,5499.99
5.50004E+13,162,NHDPlusBurnLineEvent,31797,0.05490001,1707,0.016287647,6.35246E-06,2037,593599.95
5.50004E+13,39,NHDPlusBurnLineEvent,22520,0.0596,1707,0.016315534,6.8956E-06,2038,880999.97
5.50004E+13,194,NHDPlusBurnLineEvent,26146,0.01479999,1707,0.00883503,1.71254E-06,2039,3225399.95
5.50004E+13,27,NHDPlusBurnLineEvent,29198,0.0828,1707,0.019461212,9.57941E-06,2040,697600.03
5.50004E+13,106,NHDPlusBurnLineEvent,39243,0.08440001,1707,0.027345725,9.76546E-06,2041,202800
5.50004E+13,4,NHDPlusBurnLineEvent,38029,0.0272,1707,0.010039726,3.14706E-06,2042,480699.99
5.50004E+13,14,NHDPlusBurnLineEvent,37931,0.06479998,1707,0.02029784,7.44553E-06,2043,64799.98
5.50004E+13,84,NHDPlusBurnLineEvent,32057,0.0016,1707,0.002699326,1.85149E-07,2044,187299.96
5.50004E+13,182,NHDPlusBurnLineEvent,37155,0.03,1707,0.020531171,3.46249E-06,2045,30000
5.50004E+13,172,NHDPlusBurnLineEvent,26042,0.0078,1707,0.022598753,5.17303E-06,2046,3233199.95
5.50004E+13,44,NHDPlusBurnLineEvent,37826,0.0312,1707,0.015942522,3.61E-06,2047,118399.99
5.50004E+13,15,NHDPlusBurnLineEvent,23371,0.0445,1707,0.016614648,5.14895E-06,2048,2965299.94
5.50004E+13,157,NHDPlusBurnLineEvent,37278,0.0076,1707,0.005706244,8.79335E-07,2049,453499.99
5.50004E+13,26,NHDPlusBurnLineEvent,32096,0.0133,1707,0.006770621,1.53872E-06,2050,13300
5.50004E+13,108,NHDPlusBurnLineEvent,24317,0.00510001,1707,0.004006445,5.90128E-07,2051,3176599.95
5.50004E+13,50,NHDPlusBurnLineEvent,31313,0.0223,1707,0.013500312,2.54631E-06,2052,22300
5.50004E+13,110,NHDPlusBurnLineEvent,173868,0.05580001,1707,0.012424661,6.39855E-06,2053,55800.01
5.50004E+13,99,NHDPlusBurnLineEvent,237200,0.05429999,1707,0.015615204,6.23848E-06,2054,54299.99
5.50004E+13,200,NHDPlusBurnLineEvent,31729,0.04029999,1707,0.016176259,4.66322E-06,2055,538699.94
