"coords.x1","coords.x2","Permanent_Identifier","X","FID","Shape","DomainNum","SiteID","Shape_Le_2","slope","row_count","Q_multiplier"
-84.279349,35.957714,1001,1,1,"Point","D07","WALK",64.299036,0.00620537726920308,1,0.970892401236997
-84.279288,35.957555,1001,2,2,"Point","D07","WALK",64.299036,0.00620537726920308,2,0.979714649178575
-84.279294,35.957375,1001,3,3,"Point","D07","WALK",64.299036,0.00855762117966344,3,0.98925255622475
-84.279233,35.957215,1001,4,4,"Point","D07","WALK",64.299036,0.00903966942947812,4,0.998125387238961
-84.279212,35.957184,1001,5,5,"Point","D07","WALK",64.299036,0.0208050973537645,5,1
-84.281364,35.957634,1002,6,6,"Point","D07","WALK",215.03881,0.059161423513054,6,0.0173086961347964
-84.281172,35.957672,1002,7,7,"Point","D07","WALK",215.03881,0.0986373925008489,7,0.0188644506316963
-84.281001,35.95776,1002,8,8,"Point","D07","WALK",215.03881,0.12590371368147,8,0.020457757084102
-84.280798,35.957775,1002,9,9,"Point","D07","WALK",215.03881,0.131609531118309,9,0.0220625551501659
-84.280604,35.957792,1002,10,10,"Point","D07","WALK",215.03881,0.154179641796263,10,0.0235987550630728
-84.280411,35.957846,1002,11,11,"Point","D07","WALK",215.03881,0.148955036186515,11,0.0252056953787035
-84.280201,35.957866,1002,12,12,"Point","D07","WALK",215.03881,0.160411087881236,12,0.026870319959777
-84.280002,35.957909,1002,13,13,"Point","D07","WALK",215.03881,0.118873330343337,13,0.0284914258165485
-84.279799,35.957869,1002,14,14,"Point","D07","WALK",215.03881,0.127294131439494,14,0.0301359027167486
-84.279592,35.957855,1002,15,15,"Point","D07","WALK",215.03881,0.0697274826831965,15,0.0317712326820823
-84.279381,35.957832,1002,16,16,"Point","D07","WALK",215.03881,0.0468669166448864,16,0.0334472897620475
-84.279349,35.957714,1002,17,17,"Point","D07","WALK",215.03881,0.0040602062462169,17,0.0346173922695927
-84.279288,35.958524,1003,18,18,"Point","D07","WALK",101.183537,0.00342646359785371,18,0.931833047568985
-84.279327,35.958371,1003,19,19,"Point","D07","WALK",101.183537,0.0103317917056175,19,0.932660959021766
-84.279343,35.958202,1003,20,20,"Point","D07","WALK",101.183537,0.0127188982164196,20,0.933559071030789
-84.279434,35.958052,1003,21,21,"Point","D07","WALK",101.183537,0.0140601499313807,21,0.934445280705858
-84.279387,35.957891,1003,22,22,"Point","D07","WALK",101.183537,0.0114837735789411,22,0.935322053288874
-84.279349,35.957725,1003,23,23,"Point","D07","WALK",101.183537,0.00695044863654186,23,0.936216724383261
-84.279349,35.957714,1003,24,24,"Point","D07","WALK",101.183537,0.0103782115857084,24,0.936275008967404
-84.277397,35.960337,1004,25,25,"Point","D07","WALK",306.019248,0.00687881661056548,25,0.49308890619682
-84.277424,35.96018,1004,26,26,"Point","D07","WALK",306.019248,0.0138351790773264,26,0.498573521547714
-84.277474,35.960024,1004,27,27,"Point","D07","WALK",306.019248,0.00996530095222823,27,0.504150931726918
-84.27759,35.959883,1004,28,28,"Point","D07","WALK",306.019248,0.0151532573503992,28,0.510019748427433
-84.277683,35.95974,1004,29,29,"Point","D07","WALK",306.019248,0.0154700058481955,29,0.515616155805329
-84.277822,35.959624,1004,30,30,"Point","D07","WALK",306.019248,0.0209754351592437,30,0.521219078225889
-84.277957,35.959512,1004,31,31,"Point","D07","WALK",306.019248,0.0169148405196564,31,0.526644390585728
-84.278062,35.959373,1004,32,32,"Point","D07","WALK",306.019248,0.014938339951549,32,0.532287925377899
-84.278145,35.959227,1004,33,33,"Point","D07","WALK",306.019248,0.0116533363045168,33,0.537852560168202
-84.278269,35.959158,1004,34,34,"Point","D07","WALK",306.019248,0.0142740300940508,34,0.542079144370271
-84.278442,35.959072,1004,35,35,"Point","D07","WALK",306.019248,0.00992813927199281,35,0.547782841610438
-84.278629,35.959004,1004,36,36,"Point","D07","WALK",306.019248,0.0111861843950932,36,0.553544939006422
-84.278774,35.958875,1004,37,37,"Point","D07","WALK",306.019248,0.0295216449197933,37,0.5595908938512
-84.278912,35.958743,1004,38,38,"Point","D07","WALK",306.019248,0.0295256443530069,38,0.565584516159095
-84.279095,35.958669,1004,39,39,"Point","D07","WALK",306.019248,0.0269892944573529,39,0.571333503559326
-84.279253,35.958566,1004,40,40,"Point","D07","WALK",306.019248,0.0062224400359509,40,0.577029999146327
-84.279288,35.958524,1004,41,41,"Point","D07","WALK",306.019248,0.0308588641752163,41,0.578785185022095
-84.276924,35.960394,1005,42,42,"Point","D07","WALK",50.091625,0.0622132916293276,42,0.00764958593984362
-84.27712,35.960384,1005,43,43,"Point","D07","WALK",50.091625,0.115757022790302,43,0.0106868223690985
-84.277322,35.960386,1005,44,44,"Point","D07","WALK",50.091625,0.0946049421042084,44,0.0138111215160945
-84.277397,35.960337,1005,45,45,"Point","D07","WALK",50.091625,0.0842907418813475,45,0.0152991718796872
-84.286513,35.960057,1006,46,46,"Point","D07","WALK",237.258196,0.0515453095879541,46,0.0337312017055958
-84.286321,35.960114,1006,47,47,"Point","D07","WALK",237.258196,0.0594430984602183,47,0.0367820784567564
-84.286133,35.960171,1006,48,48,"Point","D07","WALK",237.258196,0.0527531977099968,48,0.0397769414583513
-84.285981,35.960244,1006,49,49,"Point","D07","WALK",237.258196,0.0434168808633992,49,0.0424119730794636
-84.285848,35.960372,1006,50,50,"Point","D07","WALK",237.258196,0.0506415757985953,50,0.0454882013767996
-84.285677,35.960424,1006,51,51,"Point","D07","WALK",237.258196,0.0515109464029835,51,0.048213235465898
-84.285517,35.960493,1006,52,52,"Point","D07","WALK",237.258196,0.0479335384781959,52,0.0509165623972095
-84.285336,35.960511,1006,53,53,"Point","D07","WALK",237.258196,0.0394283576390955,53,0.0536382880931152
-84.28516,35.960585,1006,54,54,"Point","D07","WALK",237.258196,0.0389804072847163,54,0.0565957597416823
-84.284976,35.960626,1006,55,55,"Point","D07","WALK",237.258196,0.043846618329233,55,0.0594434089262148
-84.284798,35.960683,1006,56,56,"Point","D07","WALK",237.258196,0.0445337296456134,56,0.0622988811114536
-84.284612,35.960699,1006,57,57,"Point","D07","WALK",237.258196,0.033350399333878,57,0.0650905903276031
