"","Permanent_Identifier","Shape","SourceFeatureClass","AreaSqKm"
"2",2001,"Polygon","NHDPlusBurnLineEvent",0.250712395489176
"17",2002,"Polygon","NHDPlusBurnLineEvent",0.923016437938756
"15",2003,"Polygon","NHDPlusBurnLineEvent",0.418534412228878
"7",2004,"Polygon","NHDPlusBurnLineEvent",0.567088795254479
"13",2005,"Polygon","NHDPlusBurnLineEvent",0.74862762829532
"9",2006,"Polygon","NHDPlusBurnLineEvent",0.792299155560302
"18",2007,"Polygon","NHDPlusBurnLineEvent",0.120850094707589
"4",2008,"Polygon","NHDPlusBurnLineEvent",0.369884157254714
"1",2009,"Polygon","NHDPlusBurnLineEvent",1.00505615570625
"12",2010,"Polygon","NHDPlusBurnLineEvent",0.068567096150776
"10",2011,"Polygon","NHDPlusBurnLineEvent",1.38301089869989
"3",2012,"Polygon","NHDPlusBurnLineEvent",2.17834839393161
"29",2013,"Polygon","NHDPlusBurnLineEvent",0.324299210416033
"30",2014,"Polygon","NHDPlusBurnLineEvent",0.259588006321158
"8",2015,"Polygon","NHDPlusBurnLineEvent",0.874850041976296
"11",2016,"Polygon","NHDPlusBurnLineEvent",0.498308494416142
"20",2017,"Polygon","NHDPlusBurnLineEvent",1.75394463323413
"5",2018,"Polygon","NHDPlusBurnLineEvent",1.09990596657647
"14",2019,"Polygon","NHDPlusBurnLineEvent",0.102399704281723
"19",2020,"Polygon","NHDPlusBurnLineEvent",0.447768699060762
"6",2021,"Polygon","NHDPlusBurnLineEvent",3.40108361650278
"16",2022,"Polygon","NHDPlusBurnLineEvent",1.66937829484926
"21",2023,"Polygon","NHDPlusBurnLineEvent",1.44288975459878
"25",2024,"Polygon","NHDPlusBurnLineEvent",1.80561527943902
"26",2025,"Polygon","NHDPlusBurnLineEvent",2.82383046893256
"27",2026,"Polygon","NHDPlusBurnLineEvent",0.073798753763998
"24",2027,"Polygon","NHDPlusBurnLineEvent",1.77484694008049
"23",2028,"Polygon","NHDPlusBurnLineEvent",0.911724409809575
"22",2029,"Polygon","NHDPlusBurnLineEvent",0.31914138897246
"28",2030,"Polygon","NHDPlusBurnLineEvent",2.53171323569537
