,Permanent_Identifier,OBJECTID,Shape,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKm,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,SHAPE_Length,Enabled,Hydrologic_Sequence
2,2001,25,Polyline ZM,9/30/20,High,<Null>,<Null>,0.295552,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.02571,TRUE,100
17,2002,498,Polyline ZM,9/30/20,High,<Null>,<Null>,0.246904,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.004814,TRUE,100
15,2003,1016,Polyline ZM,9/30/20,High,<Null>,<Null>,0.787543,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.011823,TRUE,104
7,2004,1443,Polyline ZM,9/30/20,High,<Null>,<Null>,1.119274,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.010945,TRUE,100
13,2005,1444,Polyline ZM,9/30/20,High,<Null>,<Null>,0.372523,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.006069,TRUE,100
9,2006,2434,Polyline ZM,9/30/20,High,<Null>,<Null>,0.880526,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.008721,TRUE,100
18,2007,3416,Polyline ZM,9/30/20,High,<Null>,<Null>,0.161444,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.004946,TRUE,100
4,2008,3419,Polyline ZM,9/30/20,High,<Null>,<Null>,0.585803,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.006872,TRUE,100
1,2009,4011,Polyline ZM,9/30/20,High,1399972,Caribou Creek,1.148115,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.028145,TRUE,108
12,2010,4368,Polyline ZM,9/30/20,High,<Null>,<Null>,0.150404,1.90803E+13,WithDigitized,<Null>,StreamRiver,Stream/River: Hydrographic Category = Perennial,Unspecified,Yes,Unspecified,0.02571,TRUE,100
