NHDPlusID,OBJECTID,SourceFC,GridCode,AreaSqKm,VPUID,SHAPE_Length,SHAPE_Area,Permanent_Identifier
5.50004E+13,169,NHDPlusBurnLineEvent,220669,0.33679997,1707,0.003252435,5.99291E-08,
5.50004E+13,14,NHDPlusBurnLineEvent,37931,0.06479998,1707,0.02029784,7.44553E-06,2043
5.50004E+13,62,NHDPlusBurnLineEvent,174696,0.0106,1707,4.96159E-05,1.04502E-10,
5.50004E+13,224,NHDPlusBurnLineEvent,251706,0.0032,1707,0.00872284,3.60901E-07,
5.50004E+13,26,NHDPlusBurnLineEvent,32096,0.0133,1707,0.006770621,1.53872E-06,2050
5.50004E+13,223,NHDPlusBurnLineEvent,252331,0.05310001,1707,0.003403638,4.57416E-08,
5.50004E+13,185,NHDPlusBurnLineEvent,267584,0.03459999,1707,0.003021918,6.72232E-08,
5.50004E+13,211,NHDPlusBurnLineEvent,158813,0.0057,1707,0.007095005,6.58639E-07,
5.50004E+13,85,NHDPlusBurnLineEvent,267067,0.06180002,1707,0.020180422,7.13038E-06,
5.50004E+13,137,NHDPlusBurnLineEvent,37175,0.02240001,1707,0.011245148,2.59184E-06,2085
5.50004E+13,120,NHDPlusBurnLineEvent,268648,0.06309999,1707,0.01321579,7.26104E-06,
5.50004E+13,82,NHDPlusBurnLineEvent,252448,0.0845,1707,0.000233248,1.12052E-09,
5.50004E+13,115,NHDPlusBurnLineEvent,221272,0.04169999,1707,0.012012,4.80177E-06,
5.50004E+13,143,NHDPlusBurnLineEvent,251986,0.2003,1707,0.008808688,1.45013E-07,
5.50004E+13,87,NHDPlusBurnLineEvent,26832,0.01319999,1707,0.012691645,1.52712E-06,2059
5.50004E+13,203,NHDPlusBurnLineEvent,31911,0.00399999,1707,0.004146877,4.62819E-07,2075
5.50004E+13,220,NHDPlusBurnLineEvent,252584,0.0438,1707,0.015931985,5.06734E-06,2067
5.50004E+13,32,NHDPlusBurnLineEvent,31522,0.005,1707,0.010254462,5.78453E-07,
5.50004E+13,212,NHDPlusBurnLineEvent,31669,0.00649998,1707,0.009049466,7.51955E-07,
5.50004E+13,64,NHDPlusBurnLineEvent,37212,0.0088,1707,0.005762415,1.01827E-06,2088
5.50004E+13,121,NHDPlusBurnLineEvent,37436,0.0019,1707,0.002447011,2.1985E-07,2087
5.50004E+13,173,NHDPlusBurnLineEvent,32040,0.06029999,1707,0.002070086,2.95453E-08,
5.50004E+13,13,NHDPlusBurnLineEvent,31074,0.06749997,1707,0.028221965,7.79377E-06,2018
5.50004E+13,29,NHDPlusBurnLineEvent,251960,0.0197,1707,0.008280446,2.23531E-06,
5.50004E+13,226,NHDPlusBurnLineEvent,253406,0.0497,1707,0.018979411,5.43624E-06,
