coords.x1,coords.x2,c_add
-121.935227,45.790728,6.01057E-05
-121.936143,45.789892,6.65937E-05
-121.937261,45.789216,1.32948E-05
-121.93845,45.789065,6.1377E-05
-121.938906,45.789285,6.35038E-05
-121.940043,45.788734,6.162E-05
-121.941459,45.788501,3.48413E-05
-121.942463,45.788191,3.30094E-05
-121.943684,45.787848,2.56788E-05
-121.944804,45.787425,4.45652E-05
-121.945585,45.786871,3.11138E-05
-121.946393,45.786355,6.19493E-05
-121.947257,45.785662,3.45093E-05
-121.948114,45.78506,2.77582E-05
-121.948778,45.784545,1.65943E-05
-121.950191,45.78457,2.8425E-05
-121.951434,45.784706,2.59807E-05
-121.952623,45.785031,2.37664E-05
-121.945055,45.782578,0.000113723
-121.945705,45.782981,0.000188611
-121.947689,45.785371,0.000191848
-121.947877,45.783964,4.90838E-05
-121.948436,45.783191,3.84907E-05
-121.949343,45.782852,9.4126E-05
-121.950668,45.782852,8.58317E-05
-121.944176,45.790491,4.15994E-05
-121.941259,45.790035,5.20998E-05
-121.942539,45.790577,4.46336E-05
-121.943465,45.790294,4.0133E-05
-121.944562,45.790622,4.2587E-05
-121.945,45.791447,4.91944E-05
-121.945141,45.792553,3.92439E-05
-121.945447,45.79344,3.31146E-05
-121.946525,45.79406,4.28092E-05
-121.946106,45.79387,5.60738E-05
-121.946705,45.789722,0.000214346
-121.946049,45.788705,3.74696E-05
-121.94526,45.788048,0.000148814
-121.944159,45.787698,5.81664E-05
-121.953295,45.785356,2.65652E-05
-121.954043,45.785454,3.1053E-05
-121.955666,45.785876,2.10582E-05
-121.956075,45.786527,6.25669E-05
-121.957382,45.787904,4.23472E-05
-121.947516,45.789087,4.96837E-05
-121.958548,45.789048,4.00317E-05
-121.959015,45.789235,1.43236E-05
-121.958967,45.790126,2.96907E-05
-121.958986,45.79105,0.000129353
-121.959781,45.790704,0.000282447
-121.960105,45.790195,1.76656E-05
-121.961028,45.790918,0.000144212
