OBJECTID,Shape,FID_NEON_stream_lines,DomainNum,SiteID,Permanent_Identifier,Shape_Length,LengthKM,Hydrologic_Sequence
1,Polyline,1,D07,WALK,1001,64.299036,0.064299036,8
2,Polyline,1,D07,WALK,1002,215.03881,0.21503881,1
3,Polyline,1,D07,WALK,1003,101.183537,0.101183537,7
4,Polyline,1,D07,WALK,1004,306.019248,0.306019248,6
5,Polyline,1,D07,WALK,1005,50.091625,0.050091625,1
6,Polyline,1,D07,WALK,1006,237.258196,0.237258196,1
7,Polyline,1,D07,WALK,1007,393.215447,0.393215447,4
8,Polyline,1,D07,WALK,1008,128.639552,0.128639552,3
9,Polyline,1,D07,WALK,1009,142.953265,0.142953265,2
10,Polyline,1,D07,WALK,1010,38.162951,0.038162951,1
11,Polyline,1,D07,WALK,1011,150.953931,0.150953931,2
12,Polyline,1,D07,WALK,1012,150.968296,0.150968296,1
13,Polyline,1,D07,WALK,1013,241.894169,0.241894169,5
14,Polyline,1,D07,WALK,1014,56.234043,0.056234043,1
15,Polyline,1,D07,WALK,1015,187.438547,0.187438547,2
16,Polyline,1,D07,WALK,1016,73.37563,0.07337563,1
17,Polyline,1,D07,WALK,1017,54.370104,0.054370104,1
18,Polyline,1,D07,WALK,1018,251.472104,0.251472104,1
19,Polyline,1,D07,WALK,1019,365.604483,0.365604483,4
20,Polyline,1,D07,WALK,1020,130.296753,0.130296753,3
21,Polyline,1,D07,WALK,1021,527.688078,0.527688078,1
22,Polyline,1,D07,WALK,1022,175.137124,0.175137124,2
23,Polyline,1,D07,WALK,1023,198.809141,0.198809141,1
24,Polyline,1,D07,WALK,1024,116.967655,0.116967655,1
25,Polyline,1,D07,WALK,1025,422.153233,0.422153233,1
