OBJECTID,Shape,DomainNum,SiteID,Shape_Length,LengthKM,Permanent_Identifier,Hydrologic_Sequence
1,Polyline,D13,COMO,1609.77,1.60977,1001,2
2,Polyline,<Null>,COMO,935.358053,0.935358053,1002,1
3,Polyline,<Null>,COMO,763.322081,0.763322081,1003,1
4,Polyline,<Null>,COMO,423.979936,0.423979936,1004,1
5,Polyline,<Null>,COMO,1762.790324,1.762790324,1005,1
6,Polyline,<Null>,COMO,160.412588,0.160412588,1006,1
7,Polyline,<Null>,COMO,391.960713,0.391960713,1007,1
8,Polyline,<Null>,COMO,308.191292,0.308191292,1008,1
9,Polyline,<Null>,COMO,416.345887,0.416345887,1009,1
10,Polyline,<Null>,COMO,34.728346,0.034728346,1010,2
11,Polyline,<Null>,COMO,107.740133,0.107740133,1011,2
12,Polyline,<Null>,COMO,645.008283,0.645008283,1012,3
13,Polyline,<Null>,COMO,64.769606,0.064769606,1013,3
15,Polyline,<Null>,COMO,1057.930827,1.057930827,1015,1
17,Polyline,<Null>,COMO,327.822331,0.327822331,1017,1
18,Polyline,<Null>,COMO,1449.033753,1.449033753,1018,1
19,Polyline,<Null>,COMO,24658.5235,0.024658523,1019,6
20,Polyline,<Null>,COMO,6164.630874,0.006164631,1020,3
21,Polyline,<Null>,COMO,24658.5235,0.024658523,1021,4
22,Polyline,<Null>,COMO,6164.630874,0.006164631,1022,5
