,coords.x1,coords.x2,X,OBJECTID,Shape,ORIG_FID,DomainNum,SiteID,Source,Length,Shape_Leng,Permanent_Identifier,slope
1,-105.569815,40.039725,1,1,Point,0,D13,COMO,NA,0,2899.690984,1001,0.101368505
2,-105.569672,40.039641,2,2,Point,0,D13,COMO,NA,0,2899.690984,1001,0.101368505
3,-105.569493,40.039583,3,3,Point,0,D13,COMO,NA,0,2899.690984,1001,0.073002036
4,-105.569343,40.039495,4,4,Point,0,D13,COMO,NA,0,2899.690984,1001,0.045867624
5,-105.569162,40.039519,5,5,Point,0,D13,COMO,NA,0,2899.690984,1001,0.040645487
6,-105.568975,40.039554,6,6,Point,0,D13,COMO,NA,0,2899.690984,1001,0.058296878
7,-105.568781,40.039556,7,7,Point,0,D13,COMO,NA,0,2899.690984,1001,0.085635512
8,-105.568678,40.039435,8,8,Point,0,D13,COMO,NA,0,2899.690984,1001,0.070459412
9,-105.568539,40.039439,9,9,Point,0,D13,COMO,NA,0,2899.690984,1001,0.052245381
10,-105.568401,40.039524,10,10,Point,0,D13,COMO,NA,0,2899.690984,1001,0.011779532
11,-105.568224,40.039575,11,11,Point,0,D13,COMO,NA,0,2899.690984,1001,0.016152865
12,-105.568048,40.039657,12,12,Point,0,D13,COMO,NA,0,2899.690984,1001,0.029954704
13,-105.567854,40.03963,13,13,Point,0,D13,COMO,NA,0,2899.690984,1001,0.055233227
14,-105.567664,40.03964,14,14,Point,0,D13,COMO,NA,0,2899.690984,1001,0.074413354
15,-105.567485,40.039713,15,15,Point,0,D13,COMO,NA,0,2899.690984,1001,0.083951389
16,-105.567295,40.039704,16,16,Point,0,D13,COMO,NA,0,2899.690984,1001,0.096655409
17,-105.567094,40.039732,17,17,Point,0,D13,COMO,NA,0,2899.690984,1001,0.089219891
18,-105.566884,40.039687,18,18,Point,0,D13,COMO,NA,0,2899.690984,1001,0.123983284
19,-105.566698,40.039637,19,19,Point,0,D13,COMO,NA,0,2899.690984,1001,0.148103367
20,-105.566504,40.039589,20,20,Point,0,D13,COMO,NA,0,2899.690984,1001,0.165804414
21,-105.566317,40.039537,21,21,Point,0,D13,COMO,NA,0,2899.690984,1001,0.1202971
22,-105.56612,40.039481,22,22,Point,0,D13,COMO,NA,0,2899.690984,1001,0.100269482
23,-105.565925,40.039499,23,23,Point,0,D13,COMO,NA,0,2899.690984,1001,0.139924404
24,-105.565732,40.039441,24,24,Point,0,D13,COMO,NA,0,2899.690984,1001,0.198262203
25,-105.565575,40.039344,25,25,Point,0,D13,COMO,NA,0,2899.690984,1001,0.18977878
26,-105.56545,40.039226,26,26,Point,0,D13,COMO,NA,0,2899.690984,1001,0.142415222
27,-105.565253,40.039211,27,27,Point,0,D13,COMO,NA,0,2899.690984,1001,0.074260591
28,-105.565103,40.039105,28,28,Point,0,D13,COMO,NA,0,2899.690984,1001,0.051839615
29,-105.564925,40.039013,29,29,Point,0,D13,COMO,NA,0,2899.690984,1001,0.047318001
30,-105.564736,40.038959,30,30,Point,0,D13,COMO,NA,0,2899.690984,1001,0.061919358
31,-105.564555,40.038903,31,31,Point,0,D13,COMO,NA,0,2899.690984,1001,0.06092144
32,-105.564389,40.038852,32,32,Point,0,D13,COMO,NA,0,2899.690984,1001,0.042145756
33,-105.564221,40.038771,33,33,Point,0,D13,COMO,NA,0,2899.690984,1001,0.039358643
34,-105.564062,40.03867,34,34,Point,0,D13,COMO,NA,0,2899.690984,1001,0.067136046
35,-105.56388,40.038663,35,35,Point,0,D13,COMO,NA,0,2899.690984,1001,0.094991281
36,-105.563695,40.038676,36,36,Point,0,D13,COMO,NA,0,2899.690984,1001,0.111069045
37,-105.563533,40.038592,37,37,Point,0,D13,COMO,NA,0,2899.690984,1001,0.086864885
38,-105.563323,40.038601,38,38,Point,0,D13,COMO,NA,0,2899.690984,1001,0.072185967
39,-105.563204,40.038482,39,39,Point,0,D13,COMO,NA,0,2899.690984,1001,0.057513604
40,-105.563024,40.038436,40,40,Point,0,D13,COMO,NA,0,2899.690984,1001,0.061132811
41,-105.562834,40.038367,41,41,Point,0,D13,COMO,NA,0,2899.690984,1001,0.074867122
42,-105.562643,40.038335,42,42,Point,0,D13,COMO,NA,0,2899.690984,1001,0.081589154
43,-105.562465,40.03828,43,43,Point,0,D13,COMO,NA,0,2899.690984,1001,0.077195162
44,-105.562296,40.038197,44,44,Point,0,D13,COMO,NA,0,2899.690984,1001,0.110113296
45,-105.56213,40.038087,45,45,Point,0,D13,COMO,NA,0,2899.690984,1001,0.157404511
46,-105.56195,40.038035,46,46,Point,0,D13,COMO,NA,0,2899.690984,1001,0.16325474
47,-105.561792,40.037937,47,47,Point,0,D13,COMO,NA,0,2899.690984,1001,0.133600446
48,-105.561592,40.037909,48,48,Point,0,D13,COMO,NA,0,2899.690984,1001,0.064695284
49,-105.561422,40.037834,49,49,Point,0,D13,COMO,NA,0,2899.690984,1001,0.042373489
50,-105.561251,40.037758,50,50,Point,0,D13,COMO,NA,0,2899.690984,1001,0.056223982
51,-105.561068,40.037681,51,51,Point,0,D13,COMO,NA,0,2899.690984,1001,0.085975934
52,-105.56089,40.037608,52,52,Point,0,D13,COMO,NA,0,2899.690984,1001,0.10353393
53,-105.5607,40.037627,53,53,Point,0,D13,COMO,NA,0,2899.690984,1001,0.08756549
54,-105.560501,40.037604,54,54,Point,0,D13,COMO,NA,0,2899.690984,1001,0.10284525
55,-105.560322,40.037643,55,55,Point,0,D13,COMO,NA,0,2899.690984,1001,0.091262898
56,-105.560137,40.037618,56,56,Point,0,D13,COMO,NA,0,2899.690984,1001,0.108188365
57,-105.559989,40.037543,57,57,Point,0,D13,COMO,NA,0,2899.690984,1001,0.074870626
58,-105.559827,40.037472,58,58,Point,0,D13,COMO,NA,0,2899.690984,1001,0.114537324
59,-105.559635,40.037479,59,59,Point,0,D13,COMO,NA,0,2899.690984,1001,0.071704479
60,-105.559431,40.037447,60,60,Point,0,D13,COMO,NA,0,2899.690984,1001,0.070653539
61,-105.559232,40.037423,61,61,Point,0,D13,COMO,NA,0,2899.690984,1001,0.056917357
62,-105.559063,40.037354,62,62,Point,0,D13,COMO,NA,0,2899.690984,1001,0.107599871
63,-105.558877,40.03735,63,63,Point,0,D13,COMO,NA,0,2899.690984,1001,0.115841651
64,-105.558681,40.037381,64,64,Point,0,D13,COMO,NA,0,2899.690984,1001,0.091629085
65,-105.558495,40.037366,65,65,Point,0,D13,COMO,NA,0,2899.690984,1001,0.052153404
66,-105.55834,40.037318,66,66,Point,0,D13,COMO,NA,0,2899.690984,1001,0.053939764
67,-105.558147,40.037271,67,67,Point,0,D13,COMO,NA,0,2899.690984,1001,0.081651727
68,-105.557925,40.037284,68,68,Point,0,D13,COMO,NA,0,2899.690984,1001,0.130402419
69,-105.55772,40.037303,69,69,Point,0,D13,COMO,NA,0,2899.690984,1001,0.185324893
70,-105.557505,40.037285,70,70,Point,0,D13,COMO,NA,0,2899.690984,1001,0.192741794
71,-105.55731,40.03731,71,71,Point,0,D13,COMO,NA,0,2899.690984,1001,0.168896018
72,-105.557146,40.037389,72,72,Point,0,D13,COMO,NA,0,2899.690984,1001,0.11767051
73,-105.556982,40.037282,73,73,Point,0,D13,COMO,NA,0,2899.690984,1001,0.127416318
74,-105.556796,40.037266,74,74,Point,0,D13,COMO,NA,0,2899.690984,1001,0.096434295
75,-105.556653,40.037165,75,75,Point,0,D13,COMO,NA,0,2899.690984,1001,0.075343935
76,-105.556489,40.037058,76,76,Point,0,D13,COMO,NA,0,2899.690984,1001,0.028437864
77,-105.556357,40.036993,77,77,Point,0,D13,COMO,NA,0,2899.690984,1001,0.034175041
78,-105.556224,40.036873,78,78,Point,0,D13,COMO,NA,0,2899.690984,1001,0.053262307
79,-105.556013,40.036866,79,79,Point,0,D13,COMO,NA,0,2899.690984,1001,0.116843112
80,-105.555831,40.036781,80,80,Point,0,D13,COMO,NA,0,2899.690984,1001,0.138431306
81,-105.555727,40.036634,81,81,Point,0,D13,COMO,NA,0,2899.690984,1001,0.165721754
82,-105.55568,40.036566,82,82,Point,4,D13,COMO,NA,0,1762.790324,1001,0.135443212
83,-105.564924,40.037244,83,151,Point,4,D13,COMO,NA,0,1762.790324,1005,0.110434184
84,-105.564874,40.037325,84,152,Point,4,D13,COMO,NA,0,1762.790324,1005,0.071648673
85,-105.564741,40.037362,85,153,Point,4,D13,COMO,NA,0,1762.790324,1005,0.074492779
86,-105.564673,40.037443,86,154,Point,4,D13,COMO,NA,0,1762.790324,1005,0.06519119
