coords.x1,coords.x2,c_add
-96.603395,39.10516,0.000174839
-96.602844,39.104801,0.00022371
-96.602178,39.104038,0.000179653
-96.600907,39.104037,0.000131939
-96.5997,39.104299,0.000113536
-96.599725,39.103619,0.000112537
-96.598412,39.102717,0.000122431
-96.596988,39.103306,0.000159299
-96.595859,39.103823,0.000165419
-96.594736,39.102803,0.000183423
-96.59472,39.102116,0.000239661
-96.593619,39.101538,0.000230587
-96.590033,39.101414,0.000139651
-96.58739,39.102443,0.000187458
-96.586438,39.101888,0.000217501
-96.585312,39.102408,0.00020042
-96.574979,39.100925,0.000142319
-96.592153,39.101151,0.000245724
-96.590506,39.100304,0.000261926
-96.590163,39.09905,0.000246289
-96.588239,39.097129,0.000248332
-96.589165,39.096382,0.000270939
-96.589658,39.09515,0.000218989
-96.588309,39.094278,0.000310574
-96.577134,39.088021,0.000246839
-96.586275,39.090807,0.000100371
-96.58582,39.089565,0.000130105
-96.583597,39.101668,0.000187502
-96.581825,39.101351,0.000292991
-96.580132,39.10169,0.000120632
-96.578221,39.101,0.000117866
-96.576524,39.100688,0.000136802
-96.574399,39.100098,0.000129404
-96.574097,39.09899,0.00014852
-96.572743,39.097997,0.000131894
-96.57159,39.097327,0.000126332
-96.571132,39.097059,0.000297381
-96.569983,39.097634,0.00023502
-96.58473,39.087521,0.000130523
-96.584504,39.087472,0.000290042
-96.583006,39.085134,0.000237432
-96.582945,39.085346,0.000107
-96.591294,39.101694,0.000138532
-96.588941,39.095995,0.000298604
-96.587182,39.092442,0.000139745
-96.588428,39.093104,9.78973505573004e-05
-96.577559,39.088161,0.000224135
-96.585133,39.088056,8.87246824569341e-05
-96.585133,39.088056,0.000141376
-96.583336,39.086187,0.000108964
-96.583517,39.086725,0.000185139
-96.585537,39.088506,0.000126105
-96.586001,39.089196,0.00012911
-96.582346,39.081771,0.00015116
-96.582547,39.08254,0.000103598
-96.583197,39.083288,0.000205402
-96.57085,39.095274,0.000279385
-96.57085,39.095274,0.000356049
-96.567905,39.098044,0.000359896
-96.59364,39.082405,0.000232382
-96.58448,39.090612,0.000455346
-96.593513,39.084698,0.000185435
