"","X","date","flowing_measure","discharge_modeled","Elmt_ID","flowing","topaz_id","Permanent_Identifier","Use","Notes"
"19",19,"2007-01-01",0,0,332,0,1144,52548424,"Yes",""
"21",21,"2007-01-01",0,0,334,0,1124,52548386,"Yes",""
"22",22,"2007-01-01",0,0,335,0,1114,158505633,"Yes",""
"24",24,"2007-01-01",0,0,337,0,1094,158570675,"Yes",""
"25",25,"2007-01-01",0,0,338,0,1084,158570671,"Yes",""
"27",27,"2007-01-01",0,0,340,0,1064,158570672,"Yes",""
"28",28,"2007-01-01",0,0,341,0,1054,158505638,"Yes",""
"29",29,"2007-01-01",0,0,342,0,1044,158505643,"Yes",""
"32",32,"2007-01-01",0,0,345,0,1014,158505635,"Yes",""
"33",33,"2007-01-01",0,0,346,0,1004,52548262,"Yes",""
"34",34,"2007-01-01",0,0,347,0,994,158570668,"Yes",""
"35",35,"2007-01-01",0,0,348,0,984,158570659,"Yes",""
"37",37,"2007-01-01",0,0,350,0,964,158570661,"Yes",""
"38",38,"2007-01-01",0,0,351,0,954,158570665,"Yes","Also 158570664 "
"39",39,"2007-01-01",0,0,352,0,944,158570662,"Yes",""
"42",42,"2007-01-01",0,0,355,0,914,158570658,"Yes",""
"47",47,"2007-01-01",0,0,360,0,864,52548326,"Yes",""
"54",54,"2007-01-01",0,0,367,0,794,52548264,"Yes",""
"57",57,"2007-01-01",0,0,370,0,764,52548232,"Yes",""
"62",62,"2007-01-01",0,0,375,0,714,158570621,"Yes",""
"70",70,"2007-01-01",0,0,383,0,634,52548320,"Yes",""
"71",71,"2007-01-01",0,0,384,0,624,158505676,"Yes",""
"74",74,"2007-01-01",0,0,387,0,594,158505673,"Yes",""
"83",83,"2007-01-01",0,0,396,0,504,158505678,"Yes",""
"85",85,"2007-01-01",0,0,398,0,484,52548202,"Yes",""
"91",91,"2007-01-01",0,0,404,0,424,52548140,"Yes",""
"121",121,"2007-01-01",0,0,434,0,124,158570620,"Yes",""
"127",127,"2007-01-01",0,0,440,0,64,158570619,"Yes",""
"130",130,"2007-01-01",0,0,443,0,34,158505747,"Yes",""
"131",131,"2007-01-01",0,0,444,0,24,158505751,"Yes",""
"150",150,"2007-01-02",0,0,332,0,1144,52548424,"Yes",""
"152",152,"2007-01-02",0,0,334,0,1124,52548386,"Yes",""
"153",153,"2007-01-02",0,0,335,0,1114,158505633,"Yes",""
"155",155,"2007-01-02",0,0,337,0,1094,158570675,"Yes",""
"156",156,"2007-01-02",0,0,338,0,1084,158570671,"Yes",""
"158",158,"2007-01-02",0,0,340,0,1064,158570672,"Yes",""
"159",159,"2007-01-02",0,0,341,0,1054,158505638,"Yes",""
"160",160,"2007-01-02",0,0,342,0,1044,158505643,"Yes",""
"163",163,"2007-01-02",0,0,345,0,1014,158505635,"Yes",""
"164",164,"2007-01-02",0,0,346,0,1004,52548262,"Yes",""
"165",165,"2007-01-02",0,0,347,0,994,158570668,"Yes",""
"166",166,"2007-01-02",0,0,348,0,984,158570659,"Yes",""
"168",168,"2007-01-02",0,0,350,0,964,158570661,"Yes",""
