,X,OBJECTID,ORIG_FID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Per,FType,FCode,MainPath,InNetwork,Visibility,Shape_Leng,NHDPlusID,VPUID,Enabled,coords.x1,coords.x2,slope
1,1,1,0,158570674,3/26/2012,2,NA,NA,0.131,1.02701E+13,1,NA,460,46003,0,1,0,0.001226923,2.3001E+13,1027,1,-96.58411069,39.07287427,0.012911738
2,2,2,0,158570674,3/26/2012,2,NA,NA,0.131,1.02701E+13,1,NA,460,46003,0,1,0,0.001226923,2.3001E+13,1027,1,-96.58404033,39.07319855,0.014268874
3,3,3,0,158570674,3/26/2012,2,NA,NA,0.131,1.02701E+13,1,NA,460,46003,0,1,0,0.001226923,2.3001E+13,1027,1,-96.58403997,39.07353893,0.01720682
4,4,4,0,158570674,3/26/2012,2,NA,NA,0.131,1.02701E+13,1,NA,460,46003,0,1,0,0.001226923,2.3001E+13,1027,1,-96.58387747,39.07379589,0.029903071
5,5,5,0,158570674,3/26/2012,2,NA,NA,0.131,1.02701E+13,1,NA,460,46003,0,1,0,0.001226923,2.3001E+13,1027,1,-96.58397636,39.07394294,0.011170574
6,6,6,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59242863,39.10132307,0.077676573
7,7,7,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59266527,39.10156777,0.077676573
8,8,8,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59294119,39.10145914,0.077676573
9,9,9,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.5932854,39.10144734,0.058192114
10,10,10,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59361817,39.10153963,0.064280383
11,11,11,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.5939546,39.10159183,0.070368651
12,12,12,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59428172,39.10167309,0.076456919
13,13,13,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59459027,39.10182346,0.071467002
14,14,14,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59471925,39.10211751,0.067068155
15,15,15,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59469888,39.10246397,0.058004486
16,16,16,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.5947351,39.10280502,0.059228444
17,17,17,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59472095,39.10314023,0.059217975
18,18,18,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59492679,39.10337825,0.059572954
19,19,19,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59522484,39.10355082,0.054195535
20,20,20,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59547954,39.10375748,0.048818116
21,21,21,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.595763,39.10389018,0.085757946
22,22,22,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59593059,39.10361981,0.101188914
23,23,23,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59623349,39.10347924,0.116619882
24,24,24,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59658097,39.10348317,0.13205085
25,25,25,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59688777,39.10336723,0.114018874
26,26,26,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59721452,39.10330716,0.100700295
27,27,27,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59754807,39.1033852,0.074798795
28,28,28,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59787564,39.1034177,0.078977385
29,29,29,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59821995,39.1033774,0.07557757
30,30,30,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59847372,39.10317166,0.079591571
31,31,31,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59841522,39.10283417,0.0783957
32,32,32,1,158570619,3/26/2012,2,480855,Kings Creek,0.864,1.02701E+13,1,NA,460,46003,0,1,0,0.008988493,2.3001E+13,1027,1,-96.59851689,39.10258807,0.069119313
33,33,33,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57599556,39.07653021,0.009309807
34,34,34,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57597992,39.0768762,0.015973528
35,35,35,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57602988,39.07721391,0.02263725
36,36,36,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57601528,39.07755858,0.01127519
37,37,37,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57588767,39.0778767,0.008933152
38,38,38,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57564855,39.07811834,0.006591115
39,39,39,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57555008,39.07844726,0.004249078
40,40,40,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57538,39.07874273,0.009185296
41,41,41,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57535742,39.07906591,0.003227093
42,42,42,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57543703,39.07939534,0.00599441
43,43,43,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57527221,39.07968272,0.002581328
44,44,44,2,158570667,3/26/2012,2,NA,NA,0.378,1.02701E+13,1,NA,460,46007,0,1,0,0.003498199,2.3001E+13,1027,1,-96.57525776,39.07969954,0.005831279
