"","coords.x1","coords.x2","Permanent_Identifier","X","FID","Shape","Id","ORIG_FID","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode...11","FlowDir","WBArea_Permanent_Identifier","FType","FCode","MainPath","InNetwork","VisibilityFilter","NHDPlusID","VPUID","Enabled","OBJECTID_2","NHDPlusID_2","StreamLevel...24","StreamOrder...25","StreamCalculator...26","FromNode...27","ToNode...28","HydrologicSequence...29","LevelPathIdentifier...30","PathLength...31","TerminalPathIdentifier...32","UpstreamCumulativeStreamKm...33","DivergenceCode...34","IsHeadwater...35","IsNetworkEnd...36","UpstreamMainPathLevelPathID...37","UpstreamMainPathHydroSeq...38","DownstreamMainPathStreamLevel...39","DownstreamMainPathLevelPathID...40","DownstreamMainPathHydroSeq...41","DownstreamMinorHydroSequence...42","DownstreamDrainageCount...43","FromMeasure...44","ToMeasure...45","ReachCode...46","HasReturningDivergence...47","ThinnerCode...48","VPUIn...49","VPUOut...50","AreaSqKm...51","TotalDrainageAreaSqKm...52","DivergenceRoutedDrainAreaSqKm...53","MaximumElevationRaw...54","MinimumElevationRaw...55","MaximumElevationSmoothed...56","MinimumElevationSmoothed...57","Slope...58","SlopeLengthKm...59","IsElevationFixed...60","HeadwaterType...61","HeadwaterNodeDrainageAreaSqKm...62","StatusFlag...63","VPUID_3","Shape_Length","OBJECTID_3","NHDPlusID_3","StreamLevel...68","StreamOrder...69","StreamCalculator...70","FromNode...71","ToNode...72","HydrologicSequence...73","LevelPathIdentifier...74","PathLength...75","TerminalPathIdentifier...76","UpstreamCumulativeStreamKm...77","DivergenceCode...78","IsHeadwater...79","IsNetworkEnd...80","UpstreamMainPathLevelPathID...81","UpstreamMainPathHydroSeq...82","DownstreamMainPathStreamLevel...83","DownstreamMainPathLevelPathID...84","DownstreamMainPathHydroSeq...85","DownstreamMinorHydroSequence...86","DownstreamDrainageCount...87","FromMeasure...88","ToMeasure...89","ReachCode...90","HasReturningDivergence...91","ThinnerCode...92","VPUIn...93","VPUOut...94","AreaSqKm...95","TotalDrainageAreaSqKm...96","DivergenceRoutedDrainAreaSqKm...97","MaximumElevationRaw...98","MinimumElevationRaw...99","MaximumElevationSmoothed...100","MinimumElevationSmoothed...101","Slope...102","SlopeLengthKm...103","IsElevationFixed...104","HeadwaterType...105","HeadwaterNodeDrainageAreaSqKm...106","StatusFlag...107","VPUID_2","...111","...112","row_count","Q_multiplier","slope"
"1",-121.935454,45.791576,2001,433,0,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,1,0.00522503938333857,0.164013227679156
"2",-121.935209,45.791566,2001,434,1,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,2,0.00561267094778596,0.210371659869401
"3",-121.934987,45.791469,2001,435,2,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,3,0.00602609317925555,0.204430875960502
"4",-121.934793,45.79135,2001,436,3,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,4,0.0064336273710848,0.228276591968783
"5",-121.934544,45.7914,2001,437,4,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,5,0.00684280189060912,0.228666909747181
"6",-121.934308,45.791499,2001,438,5,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,6,0.00727744325264041,0.244248036105333
"7",-121.934082,45.791605,2001,439,6,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,7,0.00770721315459606,0.182497894576321
"8",-121.933837,45.791663,2001,440,7,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,8,0.00811574373854114,0.182497894576321
"9",-121.933589,45.791645,2001,441,8,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,9,0.00850955771993904,0.12190515240258
"10",-121.93334,45.791606,2001,442,9,"Point",0,1,"1/4/18",2,NA,NA,0.275622,1.70701e+13,1,NA,460,46003,0,1,0,5.50004e+13,1707,1,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,0.003262,135851,5.50004e+13,6,1,1,5.50004e+13,5.50004e+13,5.50004e+13,5.50004e+13,267.265283,5.50003e+13,0.275622,0,1,0,0,0,5,5.50004e+13,5.50004e+13,0,1,0,100,1.70701e+13,0,0,0,0,0.034,0.034,0.034,37309,35710,37309,35710,0.091048,0.175622,1,0,0.0076,"A",1707,NA,NA,10,0.00891258578166518,0.0947141869698511
