"","coords.x1","coords.x2","FID","Shape","DomainNum","SiteID","Permanent_Identifier","Shape_Le_2","slope"
"1",-84.279349,35.957714,1,"Point","D07","WALK",1001,64.299036,0.00620537726920308
"2",-84.279288,35.957555,2,"Point","D07","WALK",1001,64.299036,0.00620537726920308
"3",-84.279294,35.957375,3,"Point","D07","WALK",1001,64.299036,0.00855762117966344
"4",-84.279233,35.957215,4,"Point","D07","WALK",1001,64.299036,0.00903966942947812
"5",-84.279212,35.957184,5,"Point","D07","WALK",1001,64.299036,0.0208050973537645
"6",-84.281364,35.957634,6,"Point","D07","WALK",1002,215.03881,0.059161423513054
"7",-84.281172,35.957672,7,"Point","D07","WALK",1002,215.03881,0.0986373925008489
"8",-84.281001,35.95776,8,"Point","D07","WALK",1002,215.03881,0.12590371368147
"9",-84.280798,35.957775,9,"Point","D07","WALK",1002,215.03881,0.131609531118309
"10",-84.280604,35.957792,10,"Point","D07","WALK",1002,215.03881,0.154179641796263
"11",-84.280411,35.957846,11,"Point","D07","WALK",1002,215.03881,0.148955036186515
"12",-84.280201,35.957866,12,"Point","D07","WALK",1002,215.03881,0.160411087881236
"13",-84.280002,35.957909,13,"Point","D07","WALK",1002,215.03881,0.118873330343337
"14",-84.279799,35.957869,14,"Point","D07","WALK",1002,215.03881,0.127294131439494
"15",-84.279592,35.957855,15,"Point","D07","WALK",1002,215.03881,0.0697274826831965
"16",-84.279381,35.957832,16,"Point","D07","WALK",1002,215.03881,0.0468669166448864
"17",-84.279349,35.957714,17,"Point","D07","WALK",1002,215.03881,0.0040602062462169
"18",-84.279288,35.958524,18,"Point","D07","WALK",1003,101.183537,0.00342646359785371
"19",-84.279327,35.958371,19,"Point","D07","WALK",1003,101.183537,0.0103317917056175
"20",-84.279343,35.958202,20,"Point","D07","WALK",1003,101.183537,0.0127188982164196
"21",-84.279434,35.958052,21,"Point","D07","WALK",1003,101.183537,0.0140601499313807
"22",-84.279387,35.957891,22,"Point","D07","WALK",1003,101.183537,0.0114837735789411
"23",-84.279349,35.957725,23,"Point","D07","WALK",1003,101.183537,0.00695044863654186
"24",-84.279349,35.957714,24,"Point","D07","WALK",1003,101.183537,0.0103782115857084
"25",-84.277397,35.960337,25,"Point","D07","WALK",1004,306.019248,0.00687881661056548
"26",-84.277424,35.96018,26,"Point","D07","WALK",1004,306.019248,0.0138351790773264
